日期,数值
20140217,51050
20140218,50670
20140219,50710
20140220,50430
20140221,50520
20140224,49910
20140225,49520
20140226,49680
20140227,49200
20140228,49270
20140303,48760
20140304,48980
20140305,49380
20140306,49130
20140307,48920
20140310,46660
20140311,46210
20140312,44530
20140313,44430
20140314,44310
20140317,44210
20140318,44910
20140319,44730
20140320,45160
20140321,45140
20140324,45390
20140325,45850
20140326,46130
20140327,45680
20140328,46400
20140331,46740
20140401,46690
20140402,46710
20140403,46390
20140404,46750
20140408,46790
20140409,46450
20140410,46280
20140411,46800
20140414,46860
20140415,46630
20140416,46230
20140417,46580
20140418,46410
20140421,46680
20140422,46470
20140423,46820
20140424,47270
20140425,47950
20140428,47990
20140429,47600
20140430,47630
20140505,47630
20140506,47510
20140507,47200
20140508,47080
20140509,47570
20140512,48300
20140513,48460
20140514,48730
20140515,48900
20140516,48450
20140519,49100
20140520,48950
20140521,48150
20140522,48380
20140523,48820
20140526,49240
20140527,48970
20140528,49040
20140529,48560
20140530,48700
20140603,48720
20140604,48150
20140605,48330
20140606,48240
20140609,47370
20140610,47480
20140611,47810
20140612,47430
20140613,47660
20140616,47990
20140617,48080
20140618,47990
20140619,47920
20140620,48630
20140623,49440
20140624,49250
20140625,49300
20140626,49720
20140627,49660
20140630,49750
20140701,50510
20140702,50410
20140703,51180
20140704,51440
20140707,50880
20140708,51210
20140709,50960
20140710,50580
20140711,50920
20140714,50670
20140715,50610
20140716,50410
20140717,49920
20140718,49700
20140721,49530
20140722,49850
20140723,49960
20140724,50610
20140725,50990
20140728,50590
20140729,50750
20140730,50210
20140731,50550
20140801,50570
20140804,50260
20140805,50580
20140806,49760
20140807,49800
20140808,49730
20140811,49900
20140812,49790
20140813,49290
20140814,48920
20140815,48910
20140818,48950
20140819,49340
20140820,49460
20140821,50140
20140822,50670
20140825,50560
20140826,50510
20140827,50180
20140828,50130
20140829,49650
20140901,49520
20140902,49690
20140903,49720
20140904,49560
20140905,49860
20140909,49380
20140910,48880
20140911,48180
20140912,48580
20140915,48350
20140916,48650
20140917,49400
20140918,49020
20140919,48660
20140922,47690
20140923,47890
20140924,47930
20140925,47860
20140926,47990
20140929,47740
20140930,48110
20141008,47740
20141009,47800
20141010,47230
20141013,47800
20141014,48030
20141015,48260
20141016,47260
20141017,46520
20141020,46860
20141021,46700
20141022,47220
20141023,47250
20141024,47500
20141027,47150
20141028,47620
20141029,47820
20141030,47550
20141031,47800
20141103,47290
20141104,47670
20141105,46520
20141106,46730
20141107,47100
20141110,47410
20141111,47040
20141112,47210
20141113,47260
20141114,47000
20141117,47470
20141118,47430
20141119,47140
20141120,47260
20141121,47360
20141124,47570
20141125,47550
20141126,46660
20141127,46760
20141128,46010
20141201,44510
20141202,45370
20141203,45170
20141204,45710
20141205,45970
20141208,45760
20141209,45760
20141210,46080
20141211,46060
20141212,46250
20141215,46560
20141216,45680
20141217,45410
20141218,45400
20141219,45610
20141222,46060
20141223,45690
20141224,45670
20141225,45670
20141226,45540
20141229,45040
20141230,45270
20141231,45760
20150105,45040
20150106,44720
20150107,44500
20150108,44540
20150109,44120
20150112,43770
20150113,42680
20150114,40960
20150115,40820
20150116,40870
20150119,41620
20150120,41130
20150121,41140
20150122,41430
20150123,40800
20150126,39290
20150127,40300
20150128,39700
20150129,39300
20150130,39060
20150202,40260
20150203,40720
20150204,41110
20150205,40940
20150206,41600
20150209,41180
20150210,41230
20150211,40990
20150212,40990
20150213,42010
20150216,42100
20150217,42060
20150225,41940
20150226,42520
20150227,42730
20150302,43170
20150303,42520
20150304,42450
20150305,42470
20150306,42190
20150309,42270
20150310,42180
20150311,42040
20150312,42520
20150313,42840
20150316,42830
20150317,42460
20150318,41630
20150319,41730
20150320,42050
20150323,43690
20150324,43870
20150325,43700
20150326,43930
20150327,43780
20150330,43830
20150331,43360
20150401,43280
20150402,43520
20150403,43280
20150407,43480
20150408,43460
20150409,43310
20150410,43500
20150413,43660
20150414,42840
20150415,42970
20150416,43310
20150417,43650
20150420,43810
20150421,43310
20150422,43250
20150423,42920
20150424,43230
20150427,43770
20150428,43780
20150429,43770
20150430,44260
20150504,45720
20150505,45710
20150506,46120
20150507,45820
20150508,45950
20150511,45760
20150512,45810
20150513,46240
20150514,46040
20150515,46040
20150518,46090
20150519,45690
20150520,44730
20150521,45080
20150522,45060
20150525,44670
20150526,44450
20150527,44330
20150528,44270
20150529,44320
20150601,43660
20150602,43700
20150603,43540
20150604,43420
20150605,42820
20150608,43180
20150609,43250
20150610,43350
20150611,43220
20150612,42490
20150615,42200
20150616,42140
20150617,41780
20150618,42070
20150619,41790
20150623,41880
20150624,42160
20150625,41860
20150626,42270
20150629,42560
20150630,42130
20150701,42000
20150702,42230
20150703,42400
20150706,40770
20150707,39820
20150708,38090
20150709,40430
20150710,40320
20150713,40050
20150714,40180
20150715,40640
20150716,40550
20150717,40370
20150720,39680
20150721,39940
20150722,39030
20150723,39030
20150724,37850
20150727,38070
20150728,38100
20150729,38850
20150730,38600
20150731,38280
20150803,37900
20150804,38190
20150805,38120
20150806,38060
20150807,37940
20150810,37940
20150811,39020
20150812,39300
20150813,39510
20150814,39190
20150817,39080
20150818,38700
20150819,38640
20150820,38510
20150821,38810
20150824,38180
20150825,38690
20150826,38740
20150827,38770
20150828,39280
20150831,39210
20150901,39160
20150902,39020
20150907,39360
20150908,39500
20150909,41120
20150910,41030
20150911,41130
20150914,40600
20150915,40310
20150916,40910
20150917,40970
20150918,40680
20150921,40290
20150922,39890
20150923,38890
20150924,38810
20150925,38910
20150928,38230
20150929,37670
20150930,38410
20151008,38920
20151009,40060
20151012,40120
20151013,39720
20151014,39600
20151015,39960
20151016,39510
20151019,39360
20151020,39160
20151021,38860
20151022,39220
20151023,39660
20151026,39010
20151027,39240
20151028,38840
20151029,38950
20151030,38760
20151102,38500
20151103,38420
20151104,38810
20151105,38210
20151106,38020
20151109,37600
20151110,37550
20151111,37070
20151112,37270
20151113,36220
20151116,36000
20151117,34970
20151118,34860
20151119,34730
20151120,34860
20151123,33450
20151124,33800
20151125,34580
20151126,35140
20151127,35330
20151130,34740
20151201,35060
20151202,34890
20151203,34380
20151204,34590
20151207,35290
20151208,34680
20151209,35000
20151210,34890
20151211,35920
20151214,36090
20151215,35590
20151216,35420
20151217,35100
20151218,35740
20151221,36190
20151222,36280
20151223,36300
20151224,36090
20151225,36250
20151228,35650
20151229,36190
20151230,36390
20151231,36540
20160104,35970
20160105,36490
20160106,36230
20160107,36070
20160108,35670
20160111,34780
20160112,34620
20160113,34770
20160114,34890
20160115,34770
20160118,34950
20160119,35330
20160120,35050
20160121,34830
20160122,35180
20160125,35040
20160126,35120
20160127,35820
20160128,35640
20160129,35730
20160201,35540
20160202,35760
20160203,35810
20160204,36510
20160205,36490
20160215,35780
20160216,35770
20160217,35510
20160218,35740
20160219,35940
20160222,36400
20160223,36240
20160224,35850
20160225,35970
20160226,35880
20160229,35870
20160301,36010
20160302,36910
20160303,36980
20160304,37940
20160307,38090
20160308,37750
20160309,37330
20160310,37320
20160311,37720
20160314,37750
20160315,37290
20160316,37600
20160317,37960
20160318,38420
20160321,38190
20160322,38190
20160323,38190
20160324,37670
20160325,37790
20160328,37560
20160329,37570
20160330,37010
20160331,36870
20160401,37130
20160405,36750
20160406,36730
20160407,36650
20160408,35770
20160411,35830
20160412,35990
20160413,36840
20160414,36830
20160415,36770
20160418,36600
20160419,36900
20160420,37350
20160421,38110
20160422,37960
20160425,38130
20160426,37710
20160427,37630
20160428,37270
20160429,37660
20160503,37890
20160504,37230
20160505,36850
20160506,36620
20160509,35860
20160510,35960
20160511,35980
20160512,36260
20160513,35500
20160516,35630
20160517,35910
20160518,35400
20160519,35200
20160520,35340
20160523,35170
20160524,35180
20160525,35490
20160526,36050
20160527,35880
20160530,35710
20160531,35780
20160601,35210
20160602,35300
20160603,35720
20160606,36260
20160607,35860
20160608,35270
20160613,35270
20160614,35130
20160615,35330
20160616,35400
20160617,35570
20160620,35460
20160621,35550
20160622,36230
20160623,36270
20160624,35950
20160627,36710
20160628,37180
20160629,37190
20160630,37530
20160701,37290
20160704,38390
20160705,37770
20160706,37400
20160707,36920
20160708,36630
20160711,37030
20160712,37170
20160713,38580
20160714,38620
20160715,38480
20160718,37850
20160719,38300
20160720,38330
20160721,38660
20160722,38210
20160725,38190
20160726,37830
20160727,37780
20160728,37860
20160729,37520
20160801,38250
20160802,38000
20160803,37790
20160804,37630
20160805,37610
20160808,37540
20160809,37230
20160810,37480
20160811,37530
20160812,37570
20160815,37080
20160816,37240
20160817,37250
20160818,37390
20160819,37410
20160822,37150
20160823,37140
20160824,36680
20160825,36400
20160826,36460
20160829,36440
20160830,36280
20160831,36310
20160901,36560
20160902,36670
20160905,36520
20160906,36580
20160907,36760
20160908,36590
20160909,36650
20160912,36180
20160913,36610
20160914,36730
20160919,37230
20160920,37280
20160921,37330
20160922,37670
20160923,37880
20160926,37780
20160927,37700
20160928,37520
20160929,37670
20160930,37720
20161010,37660
20161011,38160
20161012,37950
20161013,37650
20161014,37390
20161017,37330
20161018,37410
20161019,37210
20161020,37330
20161021,37190
20161024,37360
20161025,38000
20161026,37770
20161027,37820
20161028,38270
20161031,38410
20161101,38750
20161102,38590
20161103,38990
20161104,39120
20161107,40370
20161108,40450
20161109,41600
20161110,43910
20161111,46730
20161114,45500
20161115,43670
20161116,44570
20161117,43680
20161118,44230
20161121,45170
20161122,46260
20161123,45820
20161124,48270
20161125,48160
20161128,49530
20161129,46770
20161130,46270
20161201,47060
20161202,46620
20161205,47350
20161206,47690
20161207,48350
20161208,47230
20161209,47440
20161212,47280
20161213,46970
20161214,46560
20161215,46860
20161216,46520
20161219,45680
20161220,44970
20161221,45400
20161222,44520
20161223,45190
20161226,44180
20161227,44730
20161228,45640
20161229,45830
20161230,45520
20170103,45780
20170104,45560
20170105,45810
20170106,45380
20170109,45770
20170110,46160
20170111,47210
20170112,47040
20170113,47460
20170116,48020
20170117,46860
20170118,46650
20170119,46790
20170120,46130
20170123,46910
20170124,47150
20170125,47750
20170126,48090
20170203,46880
20170206,46730
20170207,46990
20170208,47800
20170209,47580
20170210,47820
20170213,50160
20170214,50140
20170215,48830
20170216,48830
20170217,48500
20170220,48880
20170221,49030
20170222,48790
20170223,48530
20170224,47930
20170227,47890
20170228,47890
20170301,48820
20170302,48870
20170303,48470
20170306,48100
20170307,47930
20170308,47350
20170309,46590
20170310,46700
20170313,47550
20170314,47390
20170315,47710
20170316,48210
20170317,47820
20170320,48040
20170321,47390
20170322,46760
20170323,47230
20170324,47210
20170327,46380
20170328,46850
20170329,47650
20170330,47570
20170331,47920
20170405,47600
20170406,48020
20170407,47330
20170410,47260
20170411,46760
20170412,46330
20170413,46560
20170414,46220
20170417,46580
20170418,45940
20170419,45920
20170420,45640
20170421,46100
20170424,45990
20170425,46120
20170426,46350
20170427,46400
20170428,46450
20170502,46890
20170503,46680
20170504,45310
20170505,45090
20170508,44760
20170509,44820
20170510,44930
20170511,45340
20170512,45020
20170515,45530
20170516,45260
20170517,45490
20170518,45070
20170519,45400
20170522,45910
20170523,45890
20170524,45880
20170525,46070
20170526,46100
20170531,45330
20170601,45440
20170602,45460
20170605,45360
20170606,45010
20170607,44970
20170608,45350
20170609,46030
20170612,46460
20170613,45940
20170614,46060
20170615,45720
20170616,45610
20170619,45790
20170620,45980
20170621,45660
20170622,45940
20170623,46830
20170626,46970
20170627,46870
20170628,47090
20170629,47700
20170630,47720
20170703,47750
20170704,47190
20170705,47300
20170706,47130
20170707,47290
20170710,46970
20170711,47240
20170712,47460
20170713,47590
20170714,47350
20170717,48010
20170718,47900
20170719,48170
20170720,48010
20170721,48210
20170724,48000
20170725,48820
20170726,50390
20170727,50360
20170728,50250
20170731,51020
20170801,50540
20170802,50380
20170803,50210
20170804,50630
20170807,50650
20170808,50660
20170809,51510
20170810,51010
20170811,50200
20170814,50310
20170815,50590
20170816,50440
20170817,51710
20170818,51310
20170821,51870
20170822,52420
20170823,51810
20170824,52120
20170825,53020
20170828,53170
20170829,52910
20170830,52950
20170831,53030
20170901,53020
20170904,53390
20170905,53850
20170906,53410
20170907,52940
20170908,51930
20170911,51700
20170912,51870
20170913,51190
20170914,50560
20170915,50550
20170918,50870
20170919,50900
20170920,50990
20170921,50340
20170922,49800
20170925,50440
