time    open    high    low    close    vol	  MA2.MA1   	  MA2.MA2   	  MA2.MA3   	  MA2.MA4   	  MA2.MA5   	  MA2.MA6   	  MA2.MA7   	  MA2.MA8   	  MA2.MA9   	  MA2.MA10  	  VOL.VOLUME	  VOL.MAVOL1	  VOL.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD
 2000/01/04	   18807	   18867	   18796	   18830	          17896	           	           	           	           	           	           	           	           	           	           	   17896.00	           	           	       0.00	       0.00	       0.00	
 2000/01/05	   18678	   18728	   18629	   18632	          28692	           	           	           	           	           	           	           	           	           	           	   28692.00	           	           	     -15.79	      -3.16	     -25.27	
 2000/01/06	   18747	   18770	   18727	   18746	          16502	           	           	           	           	           	           	           	           	           	           	   16502.00	           	           	     -18.89	      -6.31	     -25.18	
 2000/01/07	   18734	   18791	   18724	   18783	           8734	           	           	           	           	           	           	           	           	           	           	    8734.00	           	           	     -18.16	      -8.68	     -18.96	
 2000/01/11	   18698	   18745	   18681	   18740	          13482	   18746.20	           	           	           	           	           	           	           	           	           	   13482.00	   17061.20	           	     -20.80	     -11.10	     -19.40	
 2000/01/12	   18753	   18770	   18719	   18727	           9750	   18725.60	           	           	           	           	           	           	           	           	           	    9750.00	   15432.00	           	     -23.68	     -13.62	     -20.12	
 2000/01/13	   18898	   18973	   18868	   18927	          32608	   18784.60	           	           	           	           	           	           	           	           	           	   32608.00	   16215.20	           	      -9.70	     -12.83	       6.26	
 2000/01/14	   18886	   18970	   18881	   18962	          13882	   18827.80	           	           	           	           	           	           	           	           	           	   13882.00	   15691.20	           	       4.15	      -9.44	      27.17	
 2000/01/17	   19006	   19072	   18985	   19053	          19896	   18881.80	           	           	           	           	           	           	           	           	           	   19896.00	   17923.60	           	      22.21	      -3.11	      50.64	
 2000/01/18	   19180	   19264	   19161	   19256	          26580	   18985.00	   18865.60	           	           	           	           	           	           	           	           	   26580.00	   20543.20	   18802.20	      52.30	       7.98	      88.66	
 2000/01/19	   19319	   19358	   19229	   19235	          25134	   19086.60	   18906.10	           	           	           	           	           	           	           	           	   25134.00	   23620.00	   19526.00	      73.61	      21.10	     105.02	
 2000/01/20	   19354	   19361	   19195	   19256	          34244	   19152.40	   18968.50	           	           	           	           	           	           	           	           	   34244.00	   23947.20	   20081.20	      91.14	      35.11	     112.06	
 2000/01/21	   19232	   19268	   19210	   19260	          14850	   19212.00	   19019.90	           	           	           	           	           	           	           	           	   14850.00	   24140.80	   19916.00	     104.15	      48.92	     110.47	
 2000/01/24	   19203	   19308	   19200	   19303	           9862	   19262.00	   19071.90	           	           	           	           	           	           	           	           	    9862.00	   22134.00	   20028.80	     116.59	      62.45	     108.28	
 2000/01/25	   19185	   19213	   19140	   19191	          24446	   19249.00	   19117.00	           	           	           	           	           	           	           	           	   24446.00	   21707.20	   21125.20	     116.07	      73.18	      85.79	
 2000/01/26	   19128	   19171	   19088	   19166	          19458	   19235.20	   19160.90	           	           	           	           	           	           	           	           	   19458.00	   20572.00	   22096.00	     112.35	      81.01	      62.68	
 2000/01/27	   19153	   19252	   19150	   19236	          13128	   19231.20	   19191.80	           	           	           	           	           	           	           	           	   13128.00	   16348.80	   20148.00	     113.74	      87.56	      52.37	
 2000/01/28	   19251	   19282	   19223	   19252	          11952	   19229.60	   19220.80	           	           	           	           	           	           	           	           	   11952.00	   15769.20	   19955.00	     114.81	      93.01	      43.60	
 2000/01/31	   19174	   19186	   19080	   19116	          21898	   19192.20	   19227.10	           	           	           	           	           	           	           	           	   21898.00	   18176.40	   20155.20	     103.49	      95.10	      16.76	
 2000/02/01	   19208	   19227	   19168	   19202	          12644	   19194.40	   19221.70	   19043.65	           	           	           	           	           	           	           	   12644.00	   15816.00	   18761.60	     100.30	      96.14	       8.31	
 2000/02/02	   19177	   19233	   19176	   19203	          13774	   19201.80	   19218.50	   19062.30	           	           	           	           	           	           	           	   13774.00	   14679.20	   17625.60	      96.73	      96.26	       0.95	
 2000/02/14	   19290	   19384	   19282	   19373	          26328	   19229.20	   19230.20	   19099.35	           	           	           	           	           	           	           	   26328.00	   17319.20	   16834.00	     106.40	      98.29	      16.23	
 2000/02/15	   19351	   19381	   19315	   19330	          21024	   19244.80	   19237.20	   19128.55	           	           	           	           	           	           	           	   21024.00	   19133.60	   17451.40	     109.33	     100.50	      17.67	
 2000/02/16	   19163	   19220	   19081	   19089	          31376	   19239.40	   19215.80	   19143.85	           	           	           	           	           	           	           	   31376.00	   21029.20	   19602.80	      91.16	      98.63	     -14.94	
 2000/02/17	   19133	   19174	   19090	   19107	          13878	   19220.40	   19207.40	   19162.20	           	           	           	           	           	           	           	   13878.00	   21276.00	   18546.00	      77.32	      94.37	     -34.10	
 2000/02/18	   19193	   19206	   19178	   19190	           7800	   19217.80	   19209.80	   19185.35	           	           	           	           	           	           	           	    7800.00	   20081.20	   17380.20	      72.21	      89.94	     -35.45	
 2000/02/21	   19133	   19167	   19118	   19139	          10506	   19171.00	   19200.10	   19195.95	           	           	           	           	           	           	           	   10506.00	   16916.80	   17118.00	      63.32	      84.61	     -42.58	
 2000/02/22	   19040	   19044	   18953	   18967	          22626	   19098.40	   19171.60	   19196.20	           	           	           	           	           	           	           	   22626.00	   17237.20	   18185.40	      41.91	      76.07	     -68.32	
 2000/02/23	   19091	   19110	   19061	   19082	          10660	   19097.00	   19168.20	   19197.65	           	           	           	           	           	           	           	   10660.00	   13094.00	   17061.60	      33.84	      67.63	     -67.58	
 2000/02/24	   19206	   19228	   19181	   19197	          14754	   19115.00	   19167.70	   19194.70	           	           	           	           	           	           	           	   14754.00	   13269.20	   17272.60	      36.30	      61.36	     -50.12	
 2000/02/25	   19143	   19189	   19134	   19184	           8644	   19113.80	   19165.80	   19192.15	           	           	           	           	           	           	           	    8644.00	   13438.00	   16759.60	      36.78	      56.44	     -39.34	
 2000/02/28	   18960	   19019	   18933	   19013	          25948	   19088.60	   19129.80	   19180.00	           	           	           	           	           	           	           	   25948.00	   16526.40	   16721.60	      23.09	      49.77	     -53.37	
 2000/02/29	   18466	   18579	   18427	   18495	          60880	   18994.20	   19046.30	   19141.75	           	           	           	           	           	           	           	   60880.00	   24177.20	   20707.20	     -29.22	      33.97	    -126.39	
 2000/03/01	   18530	   18586	   18473	   18505	          29560	   18878.80	   18987.90	   19101.85	           	           	           	           	           	           	           	   29560.00	   27957.20	   20525.60	     -69.07	      13.37	    -164.87	
 2000/03/02	   18559	   18576	   18523	   18548	          15248	   18749.00	   18932.00	   19069.70	           	           	           	           	           	           	           	   15248.00	   28056.00	   20662.60	     -96.08	      -8.52	    -175.11	
 2000/03/03	   18548	   18575	   18529	   18555	          12856	   18623.20	   18868.50	   19039.15	           	           	           	           	           	           	           	   12856.00	   28898.40	   21168.20	    -115.58	     -29.93	    -171.30	
 2000/03/06	   18583	   18593	   18548	   18551	          14814	   18530.80	   18809.70	   19004.90	           	           	           	           	           	           	           	   14814.00	   26671.60	   21599.00	    -129.87	     -49.92	    -159.89	
 2000/03/07	   18566	   18578	   18501	   18530	          15020	   18537.80	   18766.00	   18968.80	           	           	           	           	           	           	           	   15020.00	   17499.60	   20838.40	    -141.25	     -68.19	    -146.13	
 2000/03/08	   18404	   18404	   18087	   18093	          45564	   18455.40	   18667.10	   18917.65	           	           	           	           	           	           	           	   45564.00	   20700.40	   24328.80	    -183.42	     -91.23	    -184.37	
 2000/03/09	   18095	   18169	   18075	   18131	          16304	   18372.00	   18560.50	   18864.10	           	           	           	           	           	           	           	   16304.00	   20911.60	   24483.80	    -211.34	    -115.25	    -192.17	
 2000/03/10	   18247	   18376	   18245	   18363	          25128	   18333.60	   18478.40	   18822.10	           	           	           	           	           	           	           	   25128.00	   23366.00	   26132.20	    -212.30	    -134.66	    -155.27	
 2000/03/13	   18251	   18264	   18183	   18213	          16216	   18266.00	   18398.40	   18764.10	           	           	           	           	           	           	           	   16216.00	   23646.40	   25159.00	    -222.60	    -152.25	    -140.69	
 2000/03/14	   18227	   18243	   18131	   18173	          16946	   18194.60	   18366.20	   18706.25	           	           	           	           	           	           	           	   16946.00	   24031.60	   20765.60	    -231.32	    -168.06	    -126.51	
 2000/03/15	   18332	   18396	   18319	   18341	          24084	   18244.20	   18349.80	   18668.85	           	           	           	           	           	           	           	   24084.00	   19735.60	   20218.00	    -222.11	    -178.87	     -86.48	
 2000/03/16	   18487	   18542	   18486	   18528	          17662	   18323.60	   18347.80	   18639.90	           	           	           	           	           	           	           	   17662.00	   20007.20	   20459.40	    -197.45	    -182.59	     -29.73	
 2000/03/17	   18674	   18696	   18595	   18604	          21084	   18371.80	   18352.70	   18610.60	           	           	           	           	           	           	           	   21084.00	   19198.40	   21282.20	    -169.82	    -180.03	      20.43	
 2000/03/20	   18567	   18626	   18566	   18602	          11666	   18449.60	   18357.80	   18583.75	           	           	           	           	           	           	           	   11666.00	   18288.40	   20967.40	    -146.39	    -173.31	      53.83	
 2000/03/21	   18481	   18502	   18439	   18493	          16266	   18513.60	   18354.10	   18560.05	           	           	           	           	           	           	           	   16266.00	   18152.40	   21092.00	    -135.07	    -165.66	      61.18	
 2000/03/22	   18663	   18677	   18631	   18649	          18084	   18575.20	   18409.70	   18538.40	           	           	           	           	           	           	           	   18084.00	   16952.40	   18344.00	    -112.21	    -154.97	      85.52	
 2000/03/23	   18588	   18591	   18493	   18507	          18662	   18571.00	   18447.30	   18503.90	           	           	           	           	           	           	           	   18662.00	   17152.40	   18579.80	    -104.35	    -144.84	      80.99	
